Frequency,Flux Density,NED Uncertainty
9.19E17,,<3.35E-11
9.19E17,,<3.35E-11
9.19E17,,<1.73E-11
9.19E17,,<1.73E-11
5.56E17,2.12E-9,+/-6.36E-10
5.56E17,2.12E-9,+/-6.36E-10
5.56E17,2.03E-9,+/-5.00E-10
5.56E17,2.03E-9,+/-5.00E-10
3.77E17,4.91E-10,+/-1.74E-10
3.77E17,4.91E-10,+/-1.74E-10
3.77E17,5.33E-10,+/-1.58E-10
3.77E17,5.33E-10,+/-1.58E-10
2.22E17,4.37E-10,+/-1.37E-10
2.22E17,4.37E-10,+/-1.37E-10
2.22E17,3.61E-10,+/-1.09E-10
2.22E17,3.61E-10,+/-1.09E-10
9.67E16,8.79E-9,+/-4.13E-09
9.67E16,8.79E-9,+/-4.13E-09
9.67E16,7.75E-9,+/-3.28E-09
9.67E16,7.75E-9,+/-3.28E-09
8.94E13,7.34E-5,+/-5.68E-06
8.94E13,1.55E-4,+/-4.90E-05
8.94E13,0.00113,+/-1.02E-04
6.51E13,,<3.95E-04
6.51E13,2.41E-5,+/-8.13E-06
6.51E13,,<1.29E-04
2.59E13,,<3.98E-04
2.59E13,,<4.85E-04
2.59E13,,<5.97E-04
1.36E13,,<3.13E-03
1.36E13,,<2.50E-03
1.36E13,,<2.09E-03
